"Grupo_PTGAS","Facultad.SIDI","Participacion"
"Funcionario de Carrera","F. BELLAS ARTES","66.67%"
"Funcionario de Carrera","F. CIENCIAS BIOLOGICAS","68.00%"
"Funcionario de Carrera","F. CIENCIAS DE LA DOCUMENTACION","86.67%"
"Funcionario de Carrera","F. CIENCIAS DE LA INFORMACION","70.73%"
"Funcionario de Carrera","F. CIENCIAS ECONOMICAS Y EMPRESARIALES","82.69%"
"Funcionario de Carrera","F. CIENCIAS FISICAS","68.97%"
"Funcionario de Carrera","F. CIENCIAS GEOLOGICAS","62.50%"
"Funcionario de Carrera","F. CIENCIAS MATEMATICAS","67.86%"
"Funcionario de Carrera","F. CIENCIAS POLITICAS Y SOCIOLOGIA","78.12%"
"Funcionario de Carrera","F. CIENCIAS QUIMICAS","78.57%"
"Funcionario de Carrera","F. COMERCIO Y TURISMO","90.00%"
"Funcionario de Carrera","F. DERECHO","85.42%"
"Funcionario de Carrera","F. EDUCACION-CENTRO FORMACION PROFESOR","75.00%"
"Funcionario de Carrera","F. ENFERMERIA, FISIOTERAPIA Y PODOLOGIA","54.55%"
"Funcionario de Carrera","F. ESTUDIOS ESTADISTICOS","90.00%"
"Funcionario de Carrera","F. FARMACIA","72.00%"
"Funcionario de Carrera","F. FILOLOGIA","60.00%"
"Funcionario de Carrera","F. FILOSOFIA","74.07%"
"Funcionario de Carrera","F. GEOGRAFIA E HISTORIA","70.00%"
"Funcionario de Carrera","F. INFORMATICA","61.90%"
"Funcionario de Carrera","F. MEDICINA","77.50%"
"Funcionario de Carrera","F. ODONTOLOGIA","85.71%"
"Funcionario de Carrera","F. OPTICA Y OPTOMETRIA","73.68%"
"Funcionario de Carrera","F. PSICOLOGIA","77.78%"
"Funcionario de Carrera","F. TRABAJO SOCIAL","76.47%"
"Funcionario de Carrera","F. VETERINARIA","62.07%"
"Funcionario no permanente","F. BELLAS ARTES","75.00%"
"Funcionario no permanente","F. CIENCIAS BIOLOGICAS","88.89%"
"Funcionario no permanente","F. CIENCIAS DE LA INFORMACION","100.00%"
"Funcionario no permanente","F. CIENCIAS ECONOMICAS Y EMPRESARIALES","57.14%"
"Funcionario no permanente","F. CIENCIAS FISICAS","50.00%"
"Funcionario no permanente","F. CIENCIAS GEOLOGICAS","100.00%"
"Funcionario no permanente","F. CIENCIAS MATEMATICAS","100.00%"
