"Grupo_PTGAS","Ano","Hombre","Mujer"
"Funcionario de Carrera","2009","412","1219"
"Funcionario de Carrera","2010","406","1205"
"Funcionario de Carrera","2011","399","1176"
"Funcionario de Carrera","2012","395","1153"
"Funcionario de Carrera","2013","390","1128"
"Funcionario de Carrera","2014","384","1097"
"Funcionario de Carrera","2015","374","1063"
"Funcionario de Carrera","2016","359","1026"
"Funcionario de Carrera","2017","362","1017"
"Funcionario de Carrera","2018","347","985"
"Funcionario de Carrera","2019","381","974"
"Funcionario de Carrera","2020","366","939"
"Funcionario de Carrera","2021","356","962"
"Funcionario de Carrera","2022","353","953"
"Funcionario de Carrera","2023","386","1042"
"Funcionario no permanente","2009","68","288"
"Funcionario no permanente","2010","61","290"
"Funcionario no permanente","2011","56","285"
"Funcionario no permanente","2012","52","272"
"Funcionario no permanente","2013","49","255"
"Funcionario no permanente","2014","48","247"
"Funcionario no permanente","2015","48","237"
"Funcionario no permanente","2016","47","235"
"Funcionario no permanente","2017","46","220"
"Funcionario no permanente","2018","72","306"
"Funcionario no permanente","2019","75","316"
"Funcionario no permanente","2020","87","345"
"Funcionario no permanente","2021","88","291"
"Funcionario no permanente","2022","92","340"
"Funcionario no permanente","2023","107","333"
"Laboral no permanente","2009","205","199"
"Laboral no permanente","2010","175","154"
"Laboral no permanente","2011","175","165"
"Laboral no permanente","2012","185","156"
"Laboral no permanente","2013","163","135"
"Laboral no permanente","2014","162","138"
"Laboral no permanente","2015","177","145"
"Laboral no permanente","2016","200","164"
"Laboral no permanente","2017","233","188"
"Laboral no permanente","2018","270","225"
"Laboral no permanente","2019","286","238"
"Laboral no permanente","2020","278","244"
"Laboral no permanente","2021","289","266"
"Laboral no permanente","2022","328","306"
"Laboral no permanente","2023","263","252"
"Laboral permanente","2009","927","577"
"Laboral permanente","2010","939","605"
"Laboral permanente","2011","921","595"
"Laboral permanente","2012","905","584"
"Laboral permanente","2013","883","563"
"Laboral permanente","2014","864","553"
"Laboral permanente","2015","843","545"
"Laboral permanente","2016","823","530"
"Laboral permanente","2017","786","509"
"Laboral permanente","2018","762","489"
"Laboral permanente","2019","747","476"
"Laboral permanente","2020","723","464"
"Laboral permanente","2021","737","480"
"Laboral permanente","2022","706","475"
"Laboral permanente","2023","774","528"
