"T3.5.Ano","T3.5.Sexo","T3.5.Edad","T3.5.Moda"
"2009","Ambos Sexos","46.68966","45.97504"
"2009","Hombre","45.94118","46.10328"
"2009","Mujer","47.21891","47.09851"
"2010","Ambos Sexos","47.46080","47.02622"
"2010","Hombre","46.57449","48.28706"
"2010","Mujer","48.08337","49.16258"
"2011","Ambos Sexos","48.08872","48.17538"
"2011","Hombre","47.30438","50.18050"
"2011","Mujer","48.63726","51.16381"
"2012","Ambos Sexos","48.80529","49.05464"
"2012","Hombre","47.95706","52.33879"
"2012","Mujer","49.40720","53.14831"
"2013","Ambos Sexos","49.58424","50.30710"
"2013","Hombre","48.80808","53.51567"
"2013","Mujer","50.13785","54.54629"
"2014","Ambos Sexos","50.28764","51.11373"
"2014","Hombre","49.62620","56.02423"
"2014","Mujer","50.76130","57.02053"
"2015","Ambos Sexos","50.90681","52.09883"
"2015","Hombre","50.22538","57.73734"
"2015","Mujer","51.40010","58.69461"
"2016","Ambos Sexos","51.43781","53.05429"
"2016","Hombre","50.75297","59.65901"
"2016","Mujer","51.93814","46.28411"
"2017","Ambos Sexos","51.61660","53.97987"
"2017","Hombre","50.91731","47.33544"
"2017","Mujer","52.13230","48.36317"
"2018","Ambos Sexos","51.54440","54.92194"
"2018","Hombre","51.04686","49.36610"
"2018","Mujer","51.90429","50.34211"
"2019","Ambos Sexos","51.60246","55.65551"
"2019","Hombre","51.12148","51.74636"
"2019","Mujer","51.96008","52.18981"
"2020","Ambos Sexos","52.08732","56.64682"
"2020","Hombre","51.61031","53.71051"
"2020","Mujer","52.43574","54.09086"
"2021","Ambos Sexos","52.07663","57.64657"
"2021","Hombre","51.69748","55.40563"
"2021","Mujer","52.35550","55.87260"
"2022","Ambos Sexos","52.05599","58.30337"
"2022","Hombre","51.63243","57.28982"
"2022","Mujer","52.35824","58.02385"
"2023","Ambos Sexos","52.01844","59.14987"
"2023","Hombre","51.69648","58.50876"
"2023","Mujer","52.24733","58.77180"
